product_name,price,
Guinness Kubwa ,230.00,
White Cap ,220.00,
Tusker Cider ,220.00,
Tusker Lager ,200.00,
Balozi,200.00,
Pilsner ,200.00,
Tusker Lite ,200.00,
Tusker Malt ,200.00,
Guinness Smooth,200.00,
Smirnoff Black Ice,200.00,
Heineken,250.00,
Savana,250.00,
Hunters Cider,250.00,
Snap,200.00,
Summit Malt ,170.00,
K.B Lager,190.00,
Summit Lager,200.00,
Guarana,250.00,
Tusker Lite Can,250.00,
Tusker Malt Can,250.00,
Tusker Cider Can,250.00,
Black Ice Can,250.00,
Tusker Lager Can,250.00,
White Cap Can,250.00,
Pilsner Can,250.00,
Balozi Can,250.00,
Guinness Kubwa Can,250.00,
Guinness Smooth Can,250.00,
Snap Can,250.00,
Heineken Can,300.00,
Embassy Lights,20.00,
Dunhill Single Switch,20.00,
Dunhill Double Switch,20.00,
Sportsman,20.00,
S.M,20.00,
Match Box,10.00,
ENO ,20.00,
Panadol,30.00,
Trust Original,100.00,
Smirnof Red ,1700.00,
Viceroy ,1700.00,
Hennessy V.S ,5000.00,
Jagermeister ,3000.00,
Gilbeys ,1500.00,
William Lawson's ,1800.00,
Black & White ,1500.00,
Gordon's Gin ,2000.00,
Gordon's Gin Pink ,2200.00,
Zappa,2200.00,
Camino ,2500.00,
Gibson's Gin,1800.00,
Gibson's Pink Gin,2000.00,
Jack Daniels ,4000.00,
Amarula,2300.00,
Baileys Cream,2500.00,
Johny Walker Black Label ,4200.00,
Johny Walker Red Label ,2500.00,
Captain Morgan Gold ,1300.00,
Hunter's Choice ,1100.00,
Richot ,1600.00,
Best Cream ,2000.00,
Best Classic Whiskey ,1400.00,
Best Gin ,1000.00,
Kenya Cane ,1000.00,
V&A ,1100.00,
Grants,2000.00,
Jameson,3000.00,
Flirt Vodka,1300.00,
Glenfiddich 12yrs,6000.00,
VAT 69,2000.00,
Crazy Cock,1300.00,
Kibao Vodka,900.00,
All Seasons,1400.00,
Baileys Delight,1500.00,
Tanqueray,3000.00,
Malibu,3000.00,
Bacardi ,3500.00,
Smirnof Red,850.00,
Viceroy ,850.00,
Gilbeys ,800.00,
William Lawson's ,900.00,
Black & White ,800.00,
Jack Daniels ,2200.00,
Amarula,1500.00,
Hunter's Choice ,600.00,
Richot ,850.00,
Kenya Cane ,550.00,
Grants,1000.00,
Jameson,1500.00,
VAT 69,1000.00,
Kibao,500.00,
All Seasons,750.00,
Smirnof Red,500.00,
Gilbeys ,500.00,
Hunter's Choice ,400.00,
Best Gin ,350.00,
Kenya Cane ,350.00,
V&A ,400.00,
Captain Morgan Gold,450.00,
All Seasons,450.00,
Richot,500.00,
Caprice White 1 Ltr,900.00,
Caprice Red 1 Ltr,900.00,
Kingfisher Bottle,250.00,
Cellar Cask White 750ml,1200.00,
Cellar Cask Red 750ml,1200.00,
4th Street Red 750ml,1200.00,
4th Street White 750ml,1200.00,
Drostdy Hof Red 750ml,1200.00,
Drostdy Hof White 750ml,1200.00,
4 Cousins Red 750ml,1200.00,
4 Cousins White 750ml,1200.00,
Black.Bird Rose' 750ml,1400.00,
Sui Genezis,1500.00,
Masia Jagnet,2000.00,
Mineral Water 500ml,70.00,
Barnyard Mineral Water 1tr,100.00,
Tonic ,100.00,
Soda 500ml,100.00,
Pet Soda ,150.00,
Delmonte 1ltr,300.00,
Soda 300ml,70.00,
Red Bull Can,250.00,
Monster Drink,250.00,
Gilbeys,100.00,
Camino ,100.00,
Jose Cuervo,150.00,
Jack Daniels,200.00,
Jagermeister,200.00,
Zappa,100.00,
Baileys,200.00,
Baileys Delight,150.00,
Red Sweet Wine 5ltrs (Glass),200.00,
Pep Lime Juice 1.6 ltr,20.00,
Malibu,,
Bacardi,,
Triple Sec,,
Khalua,,
Kibao,,
Richot,,
Grenadine,,
Pine Apple Juice,,
Orange Juice,,
Cranberry Juice,,
